detectorType,descriptorType,imageIndex,TTC Lidar,TTC Camera
HARRIS,BRIEF,5,15.7465,35.3833
HARRIS,BRIEF,6,12.7835,15.2483
HARRIS,BRIEF,7,11.9844,13.1905
HARRIS,BRIEF,8,13.1241,35.1513
HARRIS,BRIEF,9,13.0241,3.93864
HARRIS,BRIEF,10,11.1746,-13.4405
HARRIS,BRIEF,11,12.8086,1.54025
HARRIS,BRIEF,12,8.95978,11.6948
HARRIS,BRIEF,13,9.96439,284.161
HARRIS,BRIEF,14,9.59863,5.66097
HARRIS,BRIEF,15,8.52157,-13.6263
HARRIS,BRIEF,16,9.51552,10.6503
HARRIS,BRIEF,17,9.61241,12.5848
HARRIS,BRIEF,18,8.3988,-inf
HARRIS,ORB,1,12.5156,10.9082
HARRIS,ORB,2,12.6142,52.7952
HARRIS,ORB,3,14.091,-20.0948
HARRIS,ORB,4,16.6894,11.5792
HARRIS,ORB,5,15.7465,13.6432
HARRIS,ORB,6,12.7835,13.2712
HARRIS,ORB,7,11.9844,13.6036
HARRIS,ORB,8,13.1241,-6.59365
HARRIS,ORB,9,13.0241,-16.1946
HARRIS,ORB,10,11.1746,20.5862
HARRIS,ORB,11,12.8086,1.49696
HARRIS,ORB,12,8.95978,11.6948
HARRIS,ORB,13,9.96439,13.4327
HARRIS,ORB,14,9.59863,6.06984
HARRIS,ORB,15,8.52157,-13.6263
HARRIS,ORB,16,9.51552,6.29972
HARRIS,ORB,17,9.61241,12.5848
HARRIS,ORB,18,8.3988,-inf
HARRIS,FREAK,1,12.5156,10.9082
HARRIS,FREAK,2,12.6142,-0.547728
HARRIS,FREAK,3,14.091,-10.295
HARRIS,FREAK,4,16.6894,-0.299136
HARRIS,FREAK,5,15.7465,-5.69176
HARRIS,FREAK,6,12.7835,15.8156
HARRIS,FREAK,7,11.9844,14.6579
HARRIS,FREAK,8,13.1241,13.5704
HARRIS,FREAK,9,13.0241,0.41977
HARRIS,FREAK,10,11.1746,20.5862
HARRIS,FREAK,11,12.8086,23.627
HARRIS,FREAK,12,8.95978,11.6948
HARRIS,FREAK,13,9.96439,0.12778
HARRIS,FREAK,14,9.59863,12.1403
HARRIS,FREAK,15,8.52157,-inf
HARRIS,FREAK,16,9.51552,12.0207
HARRIS,FREAK,17,9.61241,0.354188
HARRIS,FREAK,18,8.3988,-inf
HARRIS,SIFT,1,12.5156,10.9082
HARRIS,SIFT,2,12.6142,-15.8846
HARRIS,SIFT,3,14.091,-11.4731
HARRIS,SIFT,4,16.6894,11.5792
HARRIS,SIFT,5,15.7465,13.6432
HARRIS,SIFT,6,12.7835,29.1952
HARRIS,SIFT,7,11.9844,13.497
HARRIS,SIFT,8,13.1241,37.0436
HARRIS,SIFT,9,13.0241,-4.99658
HARRIS,SIFT,10,11.1746,-6.72026
HARRIS,SIFT,11,12.8086,11.1552
HARRIS,SIFT,12,8.95978,12.245
HARRIS,SIFT,13,9.96439,3.13052
HARRIS,SIFT,14,9.59863,6.06984
HARRIS,SIFT,15,8.52157,-inf
HARRIS,SIFT,16,9.51552,8.9631
HARRIS,SIFT,17,9.61241,12.7384
HARRIS,SIFT,18,8.3988,-inf
FAST,BRISK,1,12.5156,14.7346
FAST,BRISK,2,12.6142,-14.5326
FAST,BRISK,3,14.091,57.7456
FAST,BRISK,4,16.6894,19.4513
FAST,BRISK,5,15.7465,-14.2341
FAST,BRISK,6,12.7835,63.9525
FAST,BRISK,7,11.9844,-0.334894
FAST,BRISK,8,13.1241,13.5653
FAST,BRISK,9,13.0241,-0.719861
FAST,BRISK,10,11.1746,718.3
FAST,BRISK,11,12.8086,-inf
FAST,BRISK,12,8.95978,13.3932
FAST,BRISK,13,9.96439,-inf
FAST,BRISK,14,9.59863,-inf
FAST,BRISK,15,8.52157,-inf
FAST,BRISK,16,9.51552,15.9373
FAST,BRISK,17,9.61241,11.7541
FAST,BRISK,18,8.3988,46.5734
